id;Serial ;Event ;Provincia ;Cantón ;Distrito ;Date ;Location ;Deaths ;Injured ;Missing ;Houses Destroyed ;Houses Damaged ;Directly affected ;Indirectly Affected ;Relocated ;Evacuated ;Losses $USD ;Losses $Local ;Education centers ;Hospitals ;Damages in crops Ha. ;Lost Cattle ;Damages in roads Mts ;GLIDEnumber ;Comments
55;2010-00453;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;10/8/2010; Barrio Bella Vista ;;;;;5;20;;;;0;0;;;;0;;;"La cantidad de damnificados se pondera a partir del promedio nacional de habitantes por vivienda individual ocupada según Censo 2000; INEC. "
56;2010-00446;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;10/8/2010; Residencial Itaipu, 800 este de l aentrada. ;;;;;1;;4;;;0;0;;;;0;;;Familia aislada dentro de su misma vivienda a raíz del nivel del agua. La cantidad de afectados se pondera a partir del promedio nacional de [...] 
57;2010-00458;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;10/8/2010;  ;;;;;1;4;;;;0;0;;;;0;;;Todos los enseres mojados. La cantidad de damnificados se pondera a partir del promedio nacional de habitantes por vivienda individual ocupada según [...] 
58;2010-00849;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;13/9/2010; 700 oested d ela pulpería Novedades ;;;;;1;4;;;;0;0;;;;0;;;Caída de tapia al río. La cantidad de damnificados se pondera a partir del promedio nacional de habitantes por vivienda individual ocupada según [...] 
59;2010-00867;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/9/2010; En la entrada de ITAIPU por bar Novedades ;;;;;;;;;;0;0;;;;0;;;varias viviendas anegadas 
60;2011-00631;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;19/6/2011; Barrio Las Novedades ;;;;;;;;;;0;0;;;;0;;;La cantidad de viviendas afectadas no fue determinada por la fuente. 
61;2011-00396;LANDSLIDE; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;4/7/2011;  ;;;;;1;4;;;;0;0;;;;0;;;Una vivienda afectada y una tapia. 
62;2011-00594;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;5/9/2011; Inmediaciones Cruz Roja ;;;;;;;;;;0;0;;;;0;;;Varias viviendas anegadas. La fuente no especifica la cantidad total. 
63;2012-00008;RAIN; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;17/4/2012; San Juan de Dios, La Guaria, Itaipú y Bambú ;;;;;;;20000;;;0;0;;;;0;;;Comunidades afectadas sin agua potable. 
64;2012-00530;STRONGWIND; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;5/8/2012; Itaipú ;;;;;;;;;;0;0;;;;0;;;Varias casas fueron destechadas. La fuente no especifica la cantidad. 
65;2012-00733;FLOOD; SAN JOSE; DESAMPARADOS; SAN JUAN DE DIOS;10/8/2012; Calle La Antigua, Sector de Novedades, Centro de San Juan de ;;;;;30;120;;;;0;0;;;;0;;;Además de las viviendas resultó afectado el abastecedor San Martín. Se comenta que las viviendas afectadas se encuentran más abajo del nivel de la [...] 
